f [Hz],gain [dB],phase [°]
49.93774,-0.507161547027047,-16.009530261992637
99.87549,-1.5485313906499423,-31.77598052676675
165.8313,-3.3067005159187812,-46.14173307333203
251.11597,-5.523466921238719,-57.702983410771495
502.23193,-10.494183312881415,-72.29903757461537
976.5625,-15.94993127291615,-80.50217359147611
